Date,Product_ID,Sales,Lead_Time,DayOfWeek,Month,Sales_Lag_1,Sales_Lag_7,Rolling_Mean_7
2023-01-08,Product_1,62,2,6,1,73.0,65.0,71.14285714285714
2023-01-09,Product_1,76,3,0,1,62.0,72.0,71.71428571428571
2023-01-10,Product_1,65,5,1,1,76.0,79.0,69.71428571428571
2023-01-11,Product_1,68,3,2,1,65.0,75.0,68.71428571428571
2023-01-12,Product_1,65,3,3,1,68.0,68.0,68.28571428571429
2023-01-13,Product_1,70,4,4,1,65.0,69.0,68.42857142857143
2023-01-14,Product_1,76,5,5,1,70.0,73.0,68.85714285714286
2023-01-15,Product_1,70,4,6,1,76.0,62.0,70.0
2023-01-16,Product_1,74,4,0,1,70.0,76.0,69.71428571428571
2023-01-17,Product_1,70,2,1,1,74.0,65.0,70.42857142857143
2023-01-18,Product_1,78,3,2,1,70.0,68.0,71.85714285714286
2023-01-19,Product_1,71,4,3,1,78.0,65.0,72.71428571428571
2023-01-20,Product_1,83,5,4,1,71.0,70.0,74.57142857142857
2023-01-21,Product_1,71,3,5,1,83.0,76.0,73.85714285714286
2023-01-22,Product_1,74,2,6,1,71.0,70.0,74.42857142857143
2023-01-23,Product_1,78,3,0,1,74.0,74.0,75.0
2023-01-24,Product_1,68,3,1,1,78.0,70.0,74.71428571428571
2023-01-25,Product_1,89,3,2,1,68.0,78.0,76.28571428571429
2023-01-26,Product_1,81,2,3,1,89.0,71.0,77.71428571428571
2023-01-27,Product_1,79,5,4,1,81.0,83.0,77.14285714285714
2023-01-28,Product_1,76,3,5,1,79.0,71.0,77.85714285714286
2023-01-29,Product_1,70,3,6,1,76.0,74.0,77.28571428571429
2023-01-30,Product_1,68,4,0,1,70.0,78.0,75.85714285714286
2023-01-31,Product_1,73,5,1,1,68.0,68.0,76.57142857142857
2023-02-01,Product_1,81,5,2,2,73.0,89.0,75.42857142857143
2023-02-02,Product_1,70,4,3,2,81.0,81.0,73.85714285714286
2023-02-03,Product_1,77,2,4,2,70.0,79.0,73.57142857142857
2023-02-04,Product_1,73,5,5,2,77.0,76.0,73.14285714285714
2023-02-05,Product_1,79,4,6,2,73.0,70.0,74.42857142857143
2023-02-06,Product_1,79,4,0,2,79.0,68.0,76.0
2023-02-07,Product_1,81,4,1,2,79.0,73.0,77.14285714285714
2023-02-08,Product_1,73,4,2,2,81.0,81.0,76.0
2023-02-09,Product_1,75,2,3,2,73.0,70.0,76.71428571428571
2023-02-10,Product_1,69,5,4,2,75.0,77.0,75.57142857142857
2023-02-11,Product_1,83,4,5,2,69.0,73.0,77.0
2023-02-12,Product_1,72,4,6,2,83.0,79.0,76.0
2023-02-13,Product_1,71,5,0,2,72.0,79.0,74.85714285714286
2023-02-14,Product_1,82,2,1,2,71.0,81.0,75.0
2023-02-15,Product_1,79,4,2,2,82.0,73.0,75.85714285714286
2023-02-16,Product_1,80,2,3,2,79.0,75.0,76.57142857142857
2023-02-17,Product_1,75,2,4,2,80.0,69.0,77.42857142857143
2023-02-18,Product_1,85,4,5,2,75.0,83.0,77.71428571428571
2023-02-19,Product_1,80,4,6,2,85.0,72.0,78.85714285714286
2023-02-20,Product_1,65,3,0,2,80.0,71.0,78.0
2023-02-21,Product_1,82,5,1,2,65.0,82.0,78.0
2023-02-22,Product_1,71,5,2,2,82.0,79.0,76.85714285714286
2023-02-23,Product_1,84,5,3,2,71.0,80.0,77.42857142857143
2023-02-24,Product_1,78,2,4,2,84.0,75.0,77.85714285714286
2023-02-25,Product_1,81,4,5,2,78.0,85.0,77.28571428571429
2023-02-26,Product_1,75,5,6,2,81.0,80.0,76.57142857142857
2023-02-27,Product_1,83,4,0,2,75.0,65.0,79.14285714285714
2023-02-28,Product_1,75,3,1,2,83.0,82.0,78.14285714285714
2023-03-01,Product_1,77,3,2,3,75.0,71.0,79.0
2023-03-02,Product_1,82,3,3,3,77.0,84.0,78.71428571428571
2023-03-03,Product_1,85,5,4,3,82.0,78.0,79.71428571428571
2023-03-04,Product_1,77,3,5,3,85.0,81.0,79.14285714285714
2023-03-05,Product_1,82,3,6,3,77.0,75.0,80.14285714285714
2023-03-06,Product_1,86,5,0,3,82.0,83.0,80.57142857142857
2023-03-07,Product_1,80,2,1,3,86.0,75.0,81.28571428571429
2023-03-08,Product_1,76,2,2,3,80.0,77.0,81.14285714285714
2023-03-09,Product_1,78,4,3,3,76.0,82.0,80.57142857142857
2023-03-10,Product_1,86,2,4,3,78.0,85.0,80.71428571428571
2023-03-11,Product_1,78,4,5,3,86.0,77.0,80.85714285714286
2023-03-12,Product_1,80,2,6,3,78.0,82.0,80.57142857142857
2023-03-13,Product_1,79,3,0,3,80.0,86.0,79.57142857142857
2023-03-14,Product_1,78,5,1,3,79.0,80.0,79.28571428571429
2023-03-15,Product_1,79,5,2,3,78.0,76.0,79.71428571428571
2023-03-16,Product_1,79,5,3,3,79.0,78.0,79.85714285714286
2023-03-17,Product_1,82,5,4,3,79.0,86.0,79.28571428571429
2023-03-18,Product_1,75,2,5,3,82.0,78.0,78.85714285714286
2023-03-19,Product_1,87,3,6,3,75.0,80.0,79.85714285714286
2023-03-20,Product_1,71,2,0,3,87.0,79.0,78.71428571428571
2023-03-21,Product_1,80,5,1,3,71.0,78.0,79.0
2023-03-22,Product_1,81,3,2,3,80.0,79.0,79.28571428571429
2023-03-23,Product_1,78,5,3,3,81.0,79.0,79.14285714285714
2023-03-24,Product_1,79,3,4,3,78.0,82.0,78.71428571428571
2023-03-25,Product_1,82,2,5,3,79.0,75.0,79.71428571428571
2023-03-26,Product_1,82,5,6,3,82.0,87.0,79.0
2023-03-27,Product_1,80,4,0,3,82.0,71.0,80.28571428571429
2023-03-28,Product_1,86,4,1,3,80.0,80.0,81.14285714285714
2023-03-29,Product_1,84,2,2,3,86.0,81.0,81.57142857142857
2023-03-30,Product_1,76,5,3,3,84.0,78.0,81.28571428571429
2023-03-31,Product_1,87,3,4,3,76.0,79.0,82.42857142857143
2023-04-01,Product_1,83,5,5,4,87.0,82.0,82.57142857142857
2023-04-02,Product_1,91,5,6,4,83.0,82.0,83.85714285714286
2023-04-03,Product_1,78,3,0,4,91.0,80.0,83.57142857142857
2023-04-04,Product_1,85,5,1,4,78.0,86.0,83.42857142857143
2023-04-05,Product_1,81,4,2,4,85.0,84.0,83.0
2023-04-06,Product_1,78,5,3,4,81.0,76.0,83.28571428571429
2023-04-07,Product_1,80,4,4,4,78.0,87.0,82.28571428571429
2023-04-08,Product_1,79,5,5,4,80.0,83.0,81.71428571428571
2023-04-09,Product_1,75,2,6,4,79.0,91.0,79.42857142857143
2023-04-10,Product_1,83,5,0,4,75.0,78.0,80.14285714285714
2023-04-11,Product_1,83,2,1,4,83.0,85.0,79.85714285714286
2023-04-12,Product_1,80,4,2,4,83.0,81.0,79.71428571428571
2023-04-13,Product_1,76,4,3,4,80.0,78.0,79.42857142857143
2023-04-14,Product_1,79,4,4,4,76.0,80.0,79.28571428571429
2023-04-15,Product_1,78,5,5,4,79.0,79.0,79.14285714285714
2023-04-16,Product_1,83,5,6,4,78.0,75.0,80.28571428571429
2023-04-17,Product_1,81,5,0,4,83.0,83.0,80.0
2023-04-18,Product_1,87,2,1,4,81.0,83.0,80.57142857142857
2023-04-19,Product_1,78,5,2,4,87.0,80.0,80.28571428571429
2023-04-20,Product_1,79,2,3,4,78.0,76.0,80.71428571428571
2023-04-21,Product_1,81,2,4,4,79.0,79.0,81.0
2023-04-22,Product_1,84,2,5,4,81.0,78.0,81.85714285714286
2023-04-23,Product_1,86,4,6,4,84.0,83.0,82.28571428571429
2023-04-24,Product_1,75,5,0,4,86.0,81.0,81.42857142857143
2023-04-25,Product_1,81,5,1,4,75.0,87.0,80.57142857142857
2023-04-26,Product_1,81,5,2,4,81.0,78.0,81.0
2023-04-27,Product_1,81,4,3,4,81.0,79.0,81.28571428571429
